FirstName           Surname                 Final
--------------------------------------------------
Name10              Surname10                 6.72
Name100             Surname100                5.45
Name1000            Surname1000               8.40
Name10000           Surname10000              5.77
Name1002            Surname1002               6.89
Name1003            Surname1003               6.61
Name1005            Surname1005               7.55
Name1008            Surname1008               8.27
Name101             Surname101                7.84
Name1010            Surname1010               6.73
Name1012            Surname1012               6.91
Name1013            Surname1013               5.13
Name1014            Surname1014               6.25
Name1015            Surname1015               6.76
Name1018            Surname1018               8.47
Name1019            Surname1019               7.53
Name1020            Surname1020               6.36
Name1023            Surname1023               6.12
Name1024            Surname1024               7.09
Name1026            Surname1026               7.28
Name1028            Surname1028               6.65
Name1030            Surname1030               5.21
Name1031            Surname1031               8.69
Name1032            Surname1032               6.28
Name1033            Surname1033               7.28
Name1035            Surname1035               6.56
Name1037            Surname1037               7.45
Name1038            Surname1038               5.77
Name104             Surname104                6.72
Name1041            Surname1041               7.56
Name1042            Surname1042               7.20
Name1043            Surname1043               5.79
Name1044            Surname1044               6.13
Name1045            Surname1045               6.85
Name1046            Surname1046               7.64
Name1047            Surname1047               7.24
Name1048            Surname1048               5.56
Name1051            Surname1051               6.00
Name1053            Surname1053               6.16
Name1054            Surname1054               6.37
Name1055            Surname1055               5.51
Name1056            Surname1056               5.17
Name1057            Surname1057               5.25
Name1059            Surname1059               7.64
Name106             Surname106                5.79
Name1062            Surname1062               7.93
Name1064            Surname1064               5.56
Name1065            Surname1065               7.45
Name1066            Surname1066               6.55
Name1068            Surname1068               5.43
Name1073            Surname1073               5.48
Name1074            Surname1074               6.84
Name1077            Surname1077               7.17
Name108             Surname108                6.77
Name1080            Surname1080               7.79
Name1082            Surname1082               6.35
Name1083            Surname1083               6.39
Name1084            Surname1084               7.03
Name1085            Surname1085               8.16
Name1087            Surname1087               7.33
Name1088            Surname1088               7.40
Name1089            Surname1089               6.52
Name1090            Surname1090               6.45
Name1092            Surname1092               7.04
Name1093            Surname1093               5.68
Name1095            Surname1095               8.13
Name1099            Surname1099               8.53
Name11              Surname11                 5.21
Name1100            Surname1100               8.83
Name1102            Surname1102               7.12
Name1103            Surname1103               6.27
Name1105            Surname1105               8.27
Name1106            Surname1106               7.63
Name1107            Surname1107               5.81
Name1109            Surname1109               5.92
Name111             Surname111                6.16
Name1112            Surname1112               8.19
Name1113            Surname1113               6.43
Name1116            Surname1116               5.40
Name1117            Surname1117               6.08
Name1119            Surname1119               7.39
Name112             Surname112                5.61
Name1121            Surname1121               5.48
Name1122            Surname1122               8.21
Name1129            Surname1129               7.29
Name1131            Surname1131               5.29
Name1132            Surname1132               6.64
Name1133            Surname1133               8.56
Name1134            Surname1134               6.72
Name1135            Surname1135               6.05
Name1136            Surname1136               8.07
Name1137            Surname1137               6.99
Name1138            Surname1138               6.52
Name1139            Surname1139               7.69
Name114             Surname114                6.97
Name1140            Surname1140               6.44
Name1141            Surname1141               6.12
Name1142            Surname1142               6.93
Name1143            Surname1143               7.15
Name1148            Surname1148               5.48
Name1149            Surname1149               7.29
Name1151            Surname1151               5.21
Name1154            Surname1154               7.89
Name1155            Surname1155               6.88
Name1156            Surname1156               6.91
Name1157            Surname1157               7.91
Name1158            Surname1158               7.59
Name116             Surname116                5.99
Name1162            Surname1162               5.81
Name1168            Surname1168               5.56
Name1169            Surname1169               8.21
Name1174            Surname1174               8.24
Name1175            Surname1175               7.07
Name1176            Surname1176               7.68
Name1177            Surname1177               5.81
Name1180            Surname1180               5.47
Name1181            Surname1181               6.03
Name1183            Surname1183               8.13
Name1185            Surname1185               6.08
Name1186            Surname1186               5.13
Name1189            Surname1189               5.88
Name119             Surname119                5.79
Name1191            Surname1191               8.03
Name1193            Surname1193               6.63
Name1194            Surname1194               6.15
Name1195            Surname1195               8.53
Name1196            Surname1196               6.11
Name1197            Surname1197               6.47
Name1199            Surname1199               6.07
Name12              Surname12                 6.41
Name120             Surname120                6.71
Name1202            Surname1202               7.87
Name1203            Surname1203               5.36
Name1204            Surname1204               6.17
Name1205            Surname1205               5.45
Name1206            Surname1206               6.13
Name1209            Surname1209               6.11
Name1211            Surname1211               6.03
Name1212            Surname1212               7.17
Name1213            Surname1213               5.73
Name1214            Surname1214               6.37
Name1215            Surname1215               7.59
Name1216            Surname1216               6.51
Name1217            Surname1217               5.65
Name1221            Surname1221               5.88
Name1224            Surname1224               6.48
Name1225            Surname1225               8.29
Name1229            Surname1229               5.45
Name123             Surname123                8.21
Name1230            Surname1230               7.53
Name1232            Surname1232               7.28
Name1233            Surname1233               5.81
Name1234            Surname1234               7.28
Name1235            Surname1235               7.24
Name1236            Surname1236               5.65
Name1237            Surname1237               6.47
Name1238            Surname1238               5.92
Name124             Surname124                7.45
Name1240            Surname1240               6.35
Name1242            Surname1242               6.63
Name1243            Surname1243               6.91
Name1244            Surname1244               5.29
Name1246            Surname1246               7.92
Name1247            Surname1247               7.19
Name1248            Surname1248               6.72
Name125             Surname125                6.92
Name1250            Surname1250               8.48
Name1254            Surname1254               5.47
Name1256            Surname1256               5.65
Name1257            Surname1257               7.28
Name1258            Surname1258               5.39
Name1259            Surname1259               5.00
Name126             Surname126                5.59
Name1260            Surname1260               6.35
Name1264            Surname1264               8.04
Name1265            Surname1265               8.21
Name1266            Surname1266               5.15
Name1267            Surname1267               7.59
Name1269            Surname1269               7.91
Name1270            Surname1270               7.15
Name1272            Surname1272               7.00
Name1273            Surname1273               7.49
Name1274            Surname1274               8.27
Name1275            Surname1275               5.48
Name1278            Surname1278               6.08
Name1279            Surname1279               5.48
Name1280            Surname1280               5.97
Name1282            Surname1282               8.24
Name1284            Surname1284               5.16
Name1287            Surname1287               8.48
Name1288            Surname1288               6.55
Name1289            Surname1289               7.64
Name1290            Surname1290               8.77
Name1291            Surname1291               7.49
Name1292            Surname1292               5.85
Name1293            Surname1293               5.93
Name1296            Surname1296               6.44
Name1298            Surname1298               5.88
Name1299            Surname1299               5.01
Name13              Surname13                 7.64
Name1300            Surname1300               7.48
Name1301            Surname1301               8.43
Name1303            Surname1303               7.39
Name1304            Surname1304               8.21
Name1307            Surname1307               7.27
Name1308            Surname1308               7.04
Name131             Surname131                5.53
Name1310            Surname1310               6.55
Name1312            Surname1312               5.48
Name1313            Surname1313               5.12
Name1314            Surname1314               8.51
Name1315            Surname1315               5.92
Name1316            Surname1316               5.13
Name1319            Surname1319               8.80
Name132             Surname132                6.35
Name1322            Surname1322               5.65
Name1323            Surname1323               5.00
Name1324            Surname1324               7.56
Name1328            Surname1328               8.15
Name1329            Surname1329               5.96
Name1330            Surname1330               6.83
Name1332            Surname1332               5.73
Name1334            Surname1334               8.56
Name1337            Surname1337               8.16
Name1338            Surname1338               7.87
Name1339            Surname1339               8.19
Name134             Surname134                6.96
Name1340            Surname1340               8.27
Name1342            Surname1342               7.52
Name1345            Surname1345               6.67
Name1346            Surname1346               6.85
Name1347            Surname1347               6.99
Name135             Surname135                6.25
Name1350            Surname1350               7.37
Name1352            Surname1352               6.21
Name1353            Surname1353               7.69
Name1354            Surname1354               6.17
Name1355            Surname1355               6.93
Name1358            Surname1358               5.24
Name1359            Surname1359               6.23
Name1360            Surname1360               7.80
Name1361            Surname1361               6.72
Name1364            Surname1364               8.05
Name1365            Surname1365               6.68
Name1367            Surname1367               6.69
Name1368            Surname1368               6.31
Name1369            Surname1369               5.97
Name137             Surname137                8.45
Name1371            Surname1371               5.11
Name1373            Surname1373               6.99
Name1374            Surname1374               6.17
Name1375            Surname1375               6.71
Name1376            Surname1376               7.56
Name1377            Surname1377               6.85
Name1378            Surname1378               5.44
Name1379            Surname1379               7.85
Name138             Surname138                5.35
Name1380            Surname1380               5.80
Name1381            Surname1381               6.16
Name1382            Surname1382               6.39
Name1384            Surname1384               7.65
Name1385            Surname1385               7.71
Name1386            Surname1386               6.77
Name1389            Surname1389               5.60
Name139             Surname139                5.27
Name1391            Surname1391               5.03
Name1392            Surname1392               5.53
Name1394            Surname1394               7.84
Name1398            Surname1398               5.68
Name140             Surname140                7.95
Name1400            Surname1400               7.51
Name1401            Surname1401               6.53
Name1403            Surname1403               6.19
Name1404            Surname1404               6.04
Name1406            Surname1406               5.79
Name1407            Surname1407               6.43
Name1408            Surname1408               7.04
Name1409            Surname1409               6.89
Name141             Surname141                5.57
Name1410            Surname1410               5.91
Name1412            Surname1412               7.64
Name1413            Surname1413               8.01
Name1415            Surname1415               6.55
Name1416            Surname1416               7.41
Name1417            Surname1417               6.08
Name1419            Surname1419               7.81
Name1424            Surname1424               5.09
Name1426            Surname1426               6.13
Name1427            Surname1427               5.40
Name1430            Surname1430               7.39
Name1431            Surname1431               5.33
Name1432            Surname1432               6.84
Name1434            Surname1434               6.15
Name1441            Surname1441               5.17
Name1442            Surname1442               7.04
Name1446            Surname1446               5.05
Name1448            Surname1448               5.77
Name1449            Surname1449               7.04
Name145             Surname145                7.80
Name1451            Surname1451               8.56
Name1453            Surname1453               5.51
Name1457            Surname1457               8.56
Name1458            Surname1458               6.25
Name1461            Surname1461               6.73
Name1462            Surname1462               6.68
Name1464            Surname1464               6.83
Name1465            Surname1465               5.88
Name1466            Surname1466               6.47
Name1467            Surname1467               7.75
Name1468            Surname1468               6.81
Name147             Surname147                5.16
Name1471            Surname1471               8.29
Name1472            Surname1472               7.27
Name1474            Surname1474               7.25
Name1475            Surname1475               5.03
Name1476            Surname1476               5.51
Name1477            Surname1477               7.77
Name1480            Surname1480               5.16
Name1482            Surname1482               8.35
Name1483            Surname1483               5.43
Name1485            Surname1485               8.40
Name1486            Surname1486               6.17
Name1489            Surname1489               7.33
Name1491            Surname1491               7.51
Name1492            Surname1492               8.19
Name1493            Surname1493               7.97
Name1498            Surname1498               7.28
Name1499            Surname1499               7.51
Name15              Surname15                 7.72
Name1506            Surname1506               5.73
Name1507            Surname1507               5.97
Name1509            Surname1509               8.11
Name151             Surname151                5.79
Name1511            Surname1511               5.73
Name1513            Surname1513               6.15
Name1514            Surname1514               8.12
Name1515            Surname1515               7.55
Name1518            Surname1518               7.17
Name152             Surname152                8.40
Name1520            Surname1520               5.13
Name1521            Surname1521               8.53
Name1526            Surname1526               8.17
Name1528            Surname1528               5.60
Name1529            Surname1529               5.75
Name1530            Surname1530               7.15
Name1532            Surname1532               5.07
Name1533            Surname1533               6.28
Name1534            Surname1534               5.60
Name1535            Surname1535               6.09
Name1540            Surname1540               7.64
Name1541            Surname1541               7.56
Name1542            Surname1542               7.12
Name1544            Surname1544               6.31
Name1545            Surname1545               7.59
Name1550            Surname1550               8.69
Name1551            Surname1551               6.88
