FirstName           Surname                 Final
--------------------------------------------------
Name10              Surname10                 4.53
Name100             Surname100                3.01
Name103             Surname103                3.64
Name105             Surname105                3.60
Name106             Surname106                4.28
Name107             Surname107                4.27
Name111             Surname111                2.91
Name113             Surname113                3.36
Name114             Surname114                3.88
Name116             Surname116                3.17
Name117             Surname117                3.96
Name118             Surname118                3.60
Name121             Surname121                3.08
Name124             Surname124                3.84
Name125             Surname125                4.12
Name128             Surname128                3.04
Name129             Surname129                4.01
Name130             Surname130                3.31
Name131             Surname131                3.29
Name133             Surname133                3.57
Name135             Surname135                4.95
Name141             Surname141                2.28
Name142             Surname142                4.67
Name144             Surname144                3.91
Name147             Surname147                2.73
Name148             Surname148                3.76
Name15              Surname15                 2.65
Name152             Surname152                2.76
Name154             Surname154                4.84
Name156             Surname156                2.65
Name160             Surname160                4.75
Name162             Surname162                4.77
Name163             Surname163                2.65
Name165             Surname165                2.99
Name166             Surname166                3.53
Name172             Surname172                4.80
Name173             Surname173                3.93
Name178             Surname178                3.75
Name18              Surname18                 4.25
Name180             Surname180                4.37
Name181             Surname181                3.63
Name183             Surname183                2.88
Name184             Surname184                2.57
Name187             Surname187                3.77
Name19              Surname19                 3.60
Name192             Surname192                3.69
Name193             Surname193                3.52
Name194             Surname194                3.44
Name195             Surname195                2.75
Name20              Surname20                 3.88
Name201             Surname201                2.44
Name202             Surname202                4.88
Name205             Surname205                4.61
Name206             Surname206                2.65
Name207             Surname207                3.25
Name208             Surname208                3.33
Name210             Surname210                2.89
Name212             Surname212                3.28
Name214             Surname214                4.89
Name216             Surname216                4.48
Name219             Surname219                4.79
Name22              Surname22                 4.67
Name220             Surname220                2.23
Name221             Surname221                4.92
Name224             Surname224                3.29
Name225             Surname225                3.77
Name230             Surname230                2.47
Name231             Surname231                3.04
Name232             Surname232                3.92
Name236             Surname236                3.89
Name239             Surname239                3.64
Name24              Surname24                 2.81
Name240             Surname240                3.03
Name241             Surname241                2.73
Name247             Surname247                4.20
Name250             Surname250                3.73
Name259             Surname259                3.16
Name261             Surname261                4.83
Name263             Surname263                4.56
Name268             Surname268                4.32
Name270             Surname270                3.63
Name273             Surname273                4.56
Name274             Surname274                3.47
Name275             Surname275                2.65
Name276             Surname276                3.35
Name28              Surname28                 3.01
Name280             Surname280                4.09
Name281             Surname281                4.20
Name282             Surname282                3.16
Name284             Surname284                2.73
Name285             Surname285                2.97
Name286             Surname286                3.99
Name293             Surname293                4.19
Name294             Surname294                3.68
Name296             Surname296                4.04
Name298             Surname298                3.52
Name303             Surname303                4.03
Name304             Surname304                2.95
Name310             Surname310                3.85
