FirstName Surname Final
-----------------------------
Name1 Surname1 3.04
Name100 Surname100 2.82667
Name100000 Surname100000 2.89333
Name10002 Surname10002 4.66667
Name10004 Surname10004 3.44
Name10006 Surname10006 2.52
Name10008 Surname10008 4.45333
Name10012 Surname10012 2.46667
Name10014 Surname10014 3.18667
Name10017 Surname10017 4.94667
Name10018 Surname10018 3.22667
Name10020 Surname10020 3.58667
Name10026 Surname10026 3.12
Name10029 Surname10029 3.73333
Name10031 Surname10031 4.88
Name10032 Surname10032 4.56
Name10035 Surname10035 4.01333
Name10037 Surname10037 4.28
Name10039 Surname10039 4.64
Name10041 Surname10041 4.12
Name10042 Surname10042 3.17333
Name10043 Surname10043 4.69333
Name10046 Surname10046 4.73333
Name10049 Surname10049 3.90667
Name1005 Surname1005 3.44
Name10051 Surname10051 4.72
Name10052 Surname10052 3.45333
Name10054 Surname10054 3
Name1006 Surname1006 3.09333
Name10061 Surname10061 2.54667
Name10066 Surname10066 2.78667
Name10067 Surname10067 4.17333
Name10068 Surname10068 3.33333
Name10069 Surname10069 4.72
Name1007 Surname1007 2.52
Name10070 Surname10070 3.57333
Name10071 Surname10071 3.25333
Name10072 Surname10072 3.82667
Name10075 Surname10075 4.86667
Name10081 Surname10081 4.09333
Name10084 Surname10084 4.14667
Name10085 Surname10085 3.36
Name10089 Surname10089 3.4
Name10091 Surname10091 2.70667
Name10098 Surname10098 3.09333
Name1010 Surname1010 4.01333
Name10100 Surname10100 4.29333
Name10103 Surname10103 3.02667
Name10105 Surname10105 3.81333
Name10107 Surname10107 3.96
Name1011 Surname1011 4.22667
Name10112 Surname10112 3.78667
Name10114 Surname10114 4.45333
Name10118 Surname10118 3.57333
Name10123 Surname10123 3.93333
Name10125 Surname10125 3.36
Name10126 Surname10126 3.88
Name10127 Surname10127 4.49333
Name10132 Surname10132 4.06667
Name10134 Surname10134 4.88
Name1014 Surname1014 4.77333
Name10140 Surname10140 3.12
Name10141 Surname10141 3.57333
Name10143 Surname10143 3.85333
Name10145 Surname10145 4.17333
Name10146 Surname10146 4.97333
Name10148 Surname10148 2.81333
Name10153 Surname10153 4.53333
Name10159 Surname10159 3.61333
Name10160 Surname10160 3.93333
Name10162 Surname10162 4
Name10163 Surname10163 4.42667
Name10164 Surname10164 4.48
Name10168 Surname10168 3.49333
Name10169 Surname10169 4.14667
Name1017 Surname1017 4.57333
Name10172 Surname10172 3.8
Name10176 Surname10176 3.36
Name10180 Surname10180 3.02667
Name10182 Surname10182 2.78667
Name10183 Surname10183 4.82667
Name10186 Surname10186 4.21333
Name10190 Surname10190 4.77333
Name10192 Surname10192 3.6
Name10194 Surname10194 4.22667
Name10196 Surname10196 3.33333
Name10200 Surname10200 3.24
Name10204 Surname10204 4.29333
Name10205 Surname10205 4.4
Name10207 Surname10207 3.69333
Name10208 Surname10208 3.68
Name1021 Surname1021 4.30667
Name10210 Surname10210 3.76
Name10213 Surname10213 3.98667
Name10215 Surname10215 4.48
Name10220 Surname10220 4.57333
Name10223 Surname10223 3.62667
Name10225 Surname10225 4.72
Name10226 Surname10226 2.6
Name10227 Surname10227 4.17333
Name10228 Surname10228 3.46667
Name10231 Surname10231 3.4
Name10232 Surname10232 3.18667
Name10233 Surname10233 2.84
Name10237 Surname10237 4.82667
Name10238 Surname10238 4.94667
Name10239 Surname10239 3.41333
Name1024 Surname1024 2.28
Name10240 Surname10240 2.92
Name10241 Surname10241 3.86667
Name10243 Surname10243 3.28
Name10244 Surname10244 3.81333
Name10245 Surname10245 3.65333
Name10249 Surname10249 4.77333
Name10250 Surname10250 4.89333
Name10251 Surname10251 3.44
Name10252 Surname10252 4.74667
