FirstName Surname Final
-----------------------------
Name10 Surname10 3.12
Name100000 Surname100000 3.6
Name10001 Surname10001 4.42667
Name10002 Surname10002 2.76
Name10003 Surname10003 4.4
Name10005 Surname10005 3.24
Name10007 Surname10007 3.61333
Name10008 Surname10008 4.69333
Name10009 Surname10009 3.8
Name1001 Surname1001 3.14667
Name10010 Surname10010 2.65333
Name10011 Surname10011 3.10667
Name10012 Surname10012 4.72
Name10013 Surname10013 3.88
Name10014 Surname10014 3.14667
Name10019 Surname10019 3.25333
Name10022 Surname10022 2.65333
Name10024 Surname10024 4.58667
Name10025 Surname10025 2.52
Name10027 Surname10027 4.88
Name10028 Surname10028 4.06667
Name10029 Surname10029 4.56
Name10030 Surname10030 4.09333
Name10036 Surname10036 3.90667
Name1004 Surname1004 4.53333
Name10042 Surname10042 3.4
Name10044 Surname10044 3.09333
Name10045 Surname10045 4.8
Name10047 Surname10047 3.29333
Name10050 Surname10050 4.93333
Name10052 Surname10052 3.70667
Name10055 Surname10055 3.98667
Name1006 Surname1006 3.44
Name10060 Surname10060 4.94667
Name10061 Surname10061 3.16
Name10067 Surname10067 4.2
Name10068 Surname10068 4.4
Name1007 Surname1007 3.64
Name10070 Surname10070 3.6
Name10073 Surname10073 3.44
Name10075 Surname10075 3.84
Name10077 Surname10077 4.33333
Name1008 Surname1008 3.14667
Name10086 Surname10086 4.73333
Name10087 Surname10087 3.77333
Name10089 Surname10089 4.14667
Name10090 Surname10090 4.76
Name10095 Surname10095 4.93333
Name10098 Surname10098 4.6
Name10099 Surname10099 4.01333
Name10100 Surname10100 4.97333
Name10102 Surname10102 2.54667
Name10104 Surname10104 2.65333
Name10107 Surname10107 3.33333
Name10114 Surname10114 3.49333
Name10116 Surname10116 2.88
Name10123 Surname10123 4.41333
Name10125 Surname10125 4.29333
Name1013 Surname1013 2.76
Name10132 Surname10132 4.2
Name10133 Surname10133 3.84
Name10134 Surname10134 3.33333
Name10135 Surname10135 3.45333
Name10138 Surname10138 2.38667
