FirstName Surname Final
-----------------------------
Name1000 Surname1000 5.52
Name101 Surname101 7.34667
Name102 Surname102 5.29333
Name104 Surname104 6.64
Name105 Surname105 5.78667
Name107 Surname107 5.86667
Name108 Surname108 7.66667
Name109 Surname109 7.45333
Name11 Surname11 5.42667
Name110 Surname110 6.82667
Name111 Surname111 5.78667
Name113 Surname113 5.10667
Name114 Surname114 8.05333
Name115 Surname115 7.68
Name119 Surname119 5.61333
Name12 Surname12 7.12
Name123 Surname123 7.82667
Name124 Surname124 5.08
Name125 Surname125 6.05333
Name126 Surname126 5.6
Name127 Surname127 6.61333
Name128 Surname128 5.2
Name131 Surname131 7.37333
Name132 Surname132 7.82667
Name133 Surname133 8.24
Name134 Surname134 6.08
Name135 Surname135 6.45333
Name136 Surname136 6.28
Name137 Surname137 5.48
Name138 Surname138 7.24
Name139 Surname139 7.58667
Name143 Surname143 7.94667
Name149 Surname149 5.09333
Name15 Surname15 6.58667
Name150 Surname150 8.48
Name152 Surname152 7.98667
Name153 Surname153 6.32
Name155 Surname155 5.68
Name156 Surname156 6.72
Name157 Surname157 6.41333
Name158 Surname158 7.12
Name159 Surname159 6.68
Name160 Surname160 5.61333
Name161 Surname161 6.65333
Name162 Surname162 7.44
Name163 Surname163 7.28
Name168 Surname168 6.05333
Name169 Surname169 7.61333
Name171 Surname171 5.54667
Name172 Surname172 5.14667
Name173 Surname173 7.42667
Name175 Surname175 5.54667
Name176 Surname176 5.29333
Name177 Surname177 6.44
Name178 Surname178 6.65333
Name18 Surname18 6.84
Name180 Surname180 6.14667
Name182 Surname182 5.45333
Name183 Surname183 7.65333
Name184 Surname184 5.6
Name187 Surname187 7.12
Name188 Surname188 5.92
Name190 Surname190 7.2
Name191 Surname191 7.04
Name195 Surname195 5.77333
Name196 Surname196 5.72
Name197 Surname197 7.04
Name198 Surname198 7.44
Name199 Surname199 7.18667
Name2 Surname2 6.90667
Name20 Surname20 5.81333
Name200 Surname200 6.57333
Name201 Surname201 8.10667
Name202 Surname202 7.61333
Name204 Surname204 5.53333
Name206 Surname206 7.4
Name207 Surname207 8.08
Name208 Surname208 8.24
Name209 Surname209 7.25333
Name21 Surname21 6.10667
Name210 Surname210 5.73333
Name212 Surname212 8.32
Name213 Surname213 6.62667
Name214 Surname214 7.86667
Name215 Surname215 7.38667
Name217 Surname217 7.94667
Name218 Surname218 7.90667
Name223 Surname223 7.02667
Name226 Surname226 8.26667
Name228 Surname228 5.66667
Name229 Surname229 8.50667
Name23 Surname23 5.92
Name230 Surname230 5.66667
Name231 Surname231 6.01333
Name232 Surname232 6.30667
Name234 Surname234 8.05333
Name236 Surname236 5.86667
Name24 Surname24 6.69333
Name240 Surname240 5.45333
Name241 Surname241 6.17333
Name242 Surname242 7.26667
Name243 Surname243 6.05333
Name245 Surname245 5.18667
Name247 Surname247 5.92
Name248 Surname248 5.32
Name249 Surname249 7.50667
Name25 Surname25 8.69333
Name251 Surname251 8.34667
Name252 Surname252 5.36
Name253 Surname253 7.26667
Name254 Surname254 5.02667
Name258 Surname258 5.18667
Name26 Surname26 5.85333
Name260 Surname260 8.18667
Name261 Surname261 7.09333
Name262 Surname262 7.17333
Name263 Surname263 6.72
Name264 Surname264 6.78667
Name266 Surname266 6.73333
Name271 Surname271 5.72
Name272 Surname272 5.82667
Name273 Surname273 6.96
Name276 Surname276 7.4
Name277 Surname277 5.24
Name278 Surname278 6.17333
Name279 Surname279 6.02667
Name28 Surname28 7.2
Name280 Surname280 5.05333
Name281 Surname281 6.96
Name285 Surname285 6.28
Name29 Surname29 7.74667
Name290 Surname290 7.6
Name291 Surname291 6.17333
Name293 Surname293 6.16
Name295 Surname295 8.18667
Name3 Surname3 6.85333
Name301 Surname301 6.65333
Name302 Surname302 6.49333
Name303 Surname303 6.96
Name304 Surname304 6.28
Name305 Surname305 5.64
Name306 Surname306 7.22667
Name308 Surname308 8.37333
Name309 Surname309 6.09333
Name31 Surname31 6.78667
Name310 Surname310 7.81333
Name314 Surname314 6.33333
Name315 Surname315 6.25333
Name318 Surname318 6.66667
Name32 Surname32 7.16
Name320 Surname320 5.94667
Name321 Surname321 8.50667
Name324 Surname324 8.85333
Name326 Surname326 6.44
Name329 Surname329 7.88
Name33 Surname33 8.13333
Name330 Surname330 5.73333
Name331 Surname331 7.06667
Name332 Surname332 6.17333
Name333 Surname333 6.62667
Name335 Surname335 6.17333
Name336 Surname336 8.16
Name337 Surname337 5.16
Name339 Surname339 6.70667
Name340 Surname340 5.48
Name345 Surname345 6.2
Name346 Surname346 7.2
Name347 Surname347 5.09333
Name35 Surname35 5.34667
Name350 Surname350 8.74667
Name352 Surname352 6.14667
Name354 Surname354 8.13333
Name356 Surname356 7.84
Name361 Surname361 7.88
Name362 Surname362 6.2
Name364 Surname364 6
Name366 Surname366 5.14667
Name367 Surname367 7.56
Name369 Surname369 5.57333
Name372 Surname372 7.90667
Name373 Surname373 8.05333
Name375 Surname375 7.73333
Name377 Surname377 7.33333
Name378 Surname378 6.33333
Name384 Surname384 5.86667
Name386 Surname386 5.24
Name387 Surname387 5
Name388 Surname388 5.69333
Name39 Surname39 6.72
Name391 Surname391 7.08
Name392 Surname392 7.34667
Name393 Surname393 5.04
Name395 Surname395 8
Name396 Surname396 5.76
Name399 Surname399 5.02667
Name4 Surname4 7.14667
Name40 Surname40 8.61333
Name400 Surname400 5.57333
Name403 Surname403 5.61333
Name404 Surname404 7.01333
Name406 Surname406 8.45333
Name409 Surname409 6.85333
Name410 Surname410 6.33333
Name411 Surname411 5.46667
Name413 Surname413 8.28
Name415 Surname415 8.25333
Name417 Surname417 6.69333
Name418 Surname418 6.33333
Name419 Surname419 7.92
Name420 Surname420 5.29333
Name421 Surname421 7.10667
Name422 Surname422 5.6
Name428 Surname428 6.12
Name43 Surname43 7.09333
Name432 Surname432 6.93333
Name433 Surname433 5.89333
Name438 Surname438 5.69333
Name44 Surname44 5.42667
Name440 Surname440 5.41333
Name445 Surname445 5.89333
Name446 Surname446 5.86667
Name448 Surname448 6.49333
Name45 Surname45 7.98667
Name450 Surname450 7.24
Name451 Surname451 5.09333
Name453 Surname453 5.37333
Name456 Surname456 7.53333
Name457 Surname457 7.81333
Name458 Surname458 7.69333
Name462 Surname462 5.18667
Name463 Surname463 6.93333
Name465 Surname465 5.25333
Name466 Surname466 5.57333
Name47 Surname47 5.54667
Name472 Surname472 7.42667
Name473 Surname473 7
Name474 Surname474 7.78667
Name476 Surname476 7.85333
Name477 Surname477 8.24
Name478 Surname478 5.45333
Name479 Surname479 5
Name483 Surname483 6.57333
Name487 Surname487 7.25333
Name488 Surname488 5.25333
Name489 Surname489 7.56
Name490 Surname490 6.65333
Name491 Surname491 7.16
Name493 Surname493 7.76
Name494 Surname494 6.52
Name496 Surname496 7.36
Name497 Surname497 7.74667
Name499 Surname499 7.93333
Name500 Surname500 7.85333
Name503 Surname503 6.6
Name505 Surname505 7.84
Name508 Surname508 8.61333
Name509 Surname509 7.64
Name51 Surname51 6.6
Name511 Surname511 5.08
Name512 Surname512 6.28
Name514 Surname514 7.53333
Name515 Surname515 7.52
Name517 Surname517 8.66667
Name519 Surname519 6.85333
Name52 Surname52 6.62667
Name520 Surname520 5.65333
Name521 Surname521 7.66667
Name522 Surname522 6.33333
Name523 Surname523 7.90667
Name524 Surname524 7.38667
Name525 Surname525 8.48
Name526 Surname526 5.6
Name528 Surname528 7.4
Name53 Surname53 7.25333
Name531 Surname531 8.48
Name534 Surname534 7.16
Name536 Surname536 6.38667
Name54 Surname54 8.45333
Name540 Surname540 5.37333
Name542 Surname542 6.02667
Name545 Surname545 8.77333
Name547 Surname547 5.78667
Name552 Surname552 6.64
Name553 Surname553 7.86667
Name558 Surname558 5.84
Name56 Surname56 8.34667
Name560 Surname560 6.16
Name561 Surname561 5.78667
Name564 Surname564 5.37333
Name565 Surname565 7.48
Name566 Surname566 6.65333
Name568 Surname568 7.14667
Name572 Surname572 7.56
Name573 Surname573 6.33333
Name576 Surname576 7.81333
Name577 Surname577 8.05333
Name578 Surname578 6.49333
Name579 Surname579 5.21333
Name58 Surname58 8.10667
Name581 Surname581 5.68
Name582 Surname582 7.24
Name583 Surname583 7.96
Name584 Surname584 8.21333
Name588 Surname588 5.37333
Name59 Surname59 7.64
Name590 Surname590 5.02667
Name591 Surname591 7.86667
Name593 Surname593 6.13333
Name594 Surname594 6.44
Name596 Surname596 5.42667
Name597 Surname597 7.48
Name599 Surname599 8.24
Name600 Surname600 6.52
Name602 Surname602 6.32
Name603 Surname603 5.21333
Name604 Surname604 6.34667
Name605 Surname605 6.81333
Name606 Surname606 8.10667
Name607 Surname607 5.10667
Name609 Surname609 7.69333
Name610 Surname610 5.08
Name612 Surname612 6.17333
Name613 Surname613 5.74667
Name614 Surname614 5.94667
Name616 Surname616 6.46667
Name619 Surname619 5.77333
Name62 Surname62 7.06667
Name622 Surname622 7.32
Name624 Surname624 8.02667
Name625 Surname625 8.08
Name626 Surname626 7.25333
Name627 Surname627 7.41333
Name628 Surname628 7.42667
Name63 Surname63 5.38667
Name630 Surname630 6.02667
Name631 Surname631 5.34667
Name632 Surname632 6.77333
Name635 Surname635 7.29333
Name636 Surname636 5.86667
Name638 Surname638 5.28
Name64 Surname64 8.37333
Name640 Surname640 7.38667
Name642 Surname642 6.46667
Name643 Surname643 5.48
Name644 Surname644 7.48
Name645 Surname645 6.98667
Name647 Surname647 7.42667
Name65 Surname65 6.14667
Name651 Surname651 6.50667
Name656 Surname656 8.61333
Name657 Surname657 6.77333
Name658 Surname658 8.42667
Name662 Surname662 7.33333
Name663 Surname663 7.92
Name666 Surname666 7.86667
Name667 Surname667 7.22667
Name670 Surname670 5.84
Name672 Surname672 5.72
Name675 Surname675 7.58667
Name677 Surname677 6
Name678 Surname678 8.13333
Name679 Surname679 6.01333
Name680 Surname680 7.30667
Name681 Surname681 5
Name682 Surname682 8.4
Name687 Surname687 6.66667
Name689 Surname689 7.90667
Name69 Surname69 7.44
Name690 Surname690 6.8
Name694 Surname694 5.73333
Name695 Surname695 6.28
Name697 Surname697 6.58667
Name70 Surname70 6.58667
Name700 Surname700 6.88
Name703 Surname703 6.14667
Name705 Surname705 7.17333
Name71 Surname71 7.70667
Name710 Surname710 6.64
Name711 Surname711 5.78667
Name712 Surname712 6.2
Name714 Surname714 6.08
Name715 Surname715 6.70667
Name717 Surname717 5.57333
Name723 Surname723 5.08
Name724 Surname724 7.73333
Name73 Surname73 7.28
Name731 Surname731 6.6
Name732 Surname732 7.25333
Name735 Surname735 5.32
Name736 Surname736 7.93333
Name737 Surname737 6.72
Name739 Surname739 7
Name74 Surname74 8.08
Name740 Surname740 6.73333
Name741 Surname741 5.50667
Name745 Surname745 6.41333
Name747 Surname747 6.68
Name75 Surname75 8.16
Name753 Surname753 6.36
Name756 Surname756 7.64
Name757 Surname757 6.28
Name758 Surname758 8.34667
Name759 Surname759 8.4
Name760 Surname760 6.68
Name761 Surname761 5.86667
Name762 Surname762 7.8
Name765 Surname765 6.74667
Name766 Surname766 6.73333
Name767 Surname767 7.46667
Name768 Surname768 6.98667
Name769 Surname769 6.92
Name770 Surname770 6.33333
Name771 Surname771 5.78667
Name772 Surname772 6.08
Name774 Surname774 5.84
Name775 Surname775 5.93333
Name776 Surname776 8.01333
Name78 Surname78 7.2
Name780 Surname780 6.17333
Name782 Surname782 7.22667
Name783 Surname783 7.82667
Name784 Surname784 7.53333
Name785 Surname785 8.66667
Name786 Surname786 6.16
Name789 Surname789 7.25333
Name791 Surname791 5.29333
Name792 Surname792 7.45333
Name794 Surname794 7.69333
Name796 Surname796 6.50667
Name8 Surname8 8.21333
Name80 Surname80 8.10667
Name800 Surname800 8.56
Name801 Surname801 7.90667
Name806 Surname806 8.56
Name807 Surname807 6.10667
Name809 Surname809 6.70667
Name810 Surname810 8.29333
Name812 Surname812 6.57333
Name815 Surname815 6.28
Name817 Surname817 5.01333
Name818 Surname818 7.37333
Name819 Surname819 5.96
