FirstName Surname Final
-----------------------------
Name1 Surname1 6.90667
Name10 Surname10 6.68
Name100 Surname100 7.92
Name102 Surname102 8.8
Name103 Surname103 5.48
Name104 Surname104 6.52
Name105 Surname105 5.34667
Name106 Surname106 6.42667
Name107 Surname107 5.73333
Name108 Surname108 7.72
Name109 Surname109 5.34667
Name112 Surname112 5.01333
Name113 Surname113 8.18667
Name115 Surname115 7.62667
Name117 Surname117 6.41333
Name119 Surname119 5.73333
Name12 Surname12 6.77333
Name125 Surname125 5.18667
Name129 Surname129 6.10667
Name130 Surname130 7.97333
Name133 Surname133 7.76
Name135 Surname135 8.32
Name136 Surname136 6.49333
Name137 Surname137 5.57333
Name14 Surname14 6.33333
Name141 Surname141 5.25333
Name142 Surname142 7.37333
Name143 Surname143 7.14667
Name145 Surname145 6.41333
Name146 Surname146 6.94667
Name147 Surname147 8.16
Name148 Surname148 8.18667
Name149 Surname149 7.09333
Name15 Surname15 6.74667
Name151 Surname151 8.38667
Name153 Surname153 6.30667
Name155 Surname155 5.38667
Name159 Surname159 8.82667
Name161 Surname161 6.22667
Name162 Surname162 6.93333
Name163 Surname163 7.72
Name164 Surname164 6.25333
Name165 Surname165 5.48
Name166 Surname166 8.02667
Name167 Surname167 7.92
Name169 Surname169 7.32
Name17 Surname17 7.66667
Name171 Surname171 6.04
Name172 Surname172 7.74667
Name174 Surname174 7.68
Name176 Surname176 8.13333
Name179 Surname179 5.52
Name181 Surname181 6.88
Name184 Surname184 5.37333
Name185 Surname185 7.46667
Name186 Surname186 8.24
Name187 Surname187 6.6
Name188 Surname188 6.97333
Name19 Surname19 7.69333
Name191 Surname191 7.56
Name192 Surname192 7.57333
Name193 Surname193 6.29333
Name194 Surname194 6.57333
Name195 Surname195 6.54667
Name196 Surname196 5.21333
Name197 Surname197 6.62667
Name198 Surname198 8.29333
Name20 Surname20 6.01333
Name200 Surname200 8.34667
Name206 Surname206 5.52
Name208 Surname208 6.36
Name209 Surname209 5.08
Name21 Surname21 7.61333
Name210 Surname210 5.8
Name211 Surname211 6.45333
Name212 Surname212 5.61333
Name214 Surname214 7.09333
Name215 Surname215 6.04
Name216 Surname216 6.36
Name218 Surname218 5.86667
Name22 Surname22 5.72
Name222 Surname222 7.29333
Name223 Surname223 8.08
Name225 Surname225 6.96
Name226 Surname226 6.6
Name228 Surname228 6.70667
Name229 Surname229 6.74667
Name23 Surname23 6.46667
Name230 Surname230 8.37333
Name231 Surname231 8.37333
Name233 Surname233 7.56
Name234 Surname234 8.37333
Name235 Surname235 8.50667
Name238 Surname238 8.12
Name241 Surname241 7.74667
Name242 Surname242 5.29333
Name244 Surname244 6.38667
Name245 Surname245 6.57333
Name247 Surname247 7.02667
Name249 Surname249 6.78667
Name25 Surname25 6.64
Name250 Surname250 8.37333
Name252 Surname252 8.13333
Name253 Surname253 5
Name255 Surname255 7.78667
Name257 Surname257 7.77333
Name260 Surname260 5.89333
Name262 Surname262 6.8
Name263 Surname263 5.94667
Name264 Surname264 8.18667
Name265 Surname265 6.4
Name266 Surname266 7.50667
Name267 Surname267 8.53333
Name268 Surname268 7.45333
Name269 Surname269 7.61333
Name272 Surname272 7.22667
Name275 Surname275 6.33333
Name278 Surname278 7.54667
Name279 Surname279 6.34667
Name280 Surname280 7.13333
Name282 Surname282 7.06667
Name283 Surname283 6.24
Name284 Surname284 6.56
Name285 Surname285 5.81333
Name286 Surname286 6
Name287 Surname287 6.70667
Name290 Surname290 5.61333
Name291 Surname291 5.97333
Name292 Surname292 7.61333
Name293 Surname293 6.96
Name294 Surname294 6.01333
Name295 Surname295 7.66667
Name296 Surname296 6.82667
Name3 Surname3 6.22667
Name30 Surname30 6.06667
Name302 Surname302 6.17333
Name303 Surname303 7.29333
Name304 Surname304 8.34667
Name308 Surname308 7.81333
Name31 Surname31 5
Name311 Surname311 7.33333
Name313 Surname313 6.72
Name318 Surname318 6.53333
Name32 Surname32 6.96
Name322 Surname322 6.92
Name323 Surname323 6.46667
Name324 Surname324 7.01333
Name325 Surname325 6.56
Name327 Surname327 5.10667
Name331 Surname331 8.08
Name333 Surname333 8.32
Name337 Surname337 6.69333
Name338 Surname338 5.96
Name339 Surname339 7.69333
Name34 Surname34 6.33333
Name342 Surname342 7.4
Name343 Surname343 5.78667
